base_obj_Count,base_features_Count,base_persent_Categorial_features,base_class_Count,base_all_percent_of_nans,base_target_type,cat_meta_categCount_min,cat_meta_categCount_max,cat_meta_categCount_mean,cat_meta_entropy_min,cat_meta_entropy_max,cat_meta_entropy_mean,cat_meta_percent_nans_min,cat_meta_percent_nans_max,cat_meta_percent_nans_mean,disc_meta_min_min,disc_meta_min_max,disc_meta_min_mean,disc_meta_max_min,disc_meta_max_max,disc_meta_max_mean,disc_meta_mean_min,disc_meta_mean_max,disc_meta_mean_mean,disc_meta_variation_min,disc_meta_variation_max,disc_meta_variation_mean,disc_meta_skew_min,disc_meta_skew_max,disc_meta_skew_mean,disc_meta_kurtosis_min,disc_meta_kurtosis_max,disc_meta_kurtosis_mean,disc_meta_percent_of_nans_min,disc_meta_percent_of_nans_max,disc_meta_percent_of_nans_mean,model_min,model_max,model_kurtosis,model_variation,RF,SGD,kNN
189,9,0.78,133,0.0,0,0,177,47.25,0.24,1.21,0.67,0.0,0.0,0.0,14.0,80.0,47.0,45.0,250.0,147.5,23.24,129.81,76.53,0.23,0.23,0.23,0.72,1.39,1.05,0.57,2.31,1.44,0.0,0.0,0.0,-17.44,17.44,9.36,63.76,1.0,0.0,0.0
303,13,0.54,152,0.0010154861640010156,0,0,258,78.56,0.42,1.2,0.78,0.0,0.0,0.0,0.0,94.0,32.33,3.0,202.0,82.03,0.67,149.61,56.4,0.13,1.31,0.58,-0.53,1.26,0.46,-0.53,1.53,0.32,0.0,4.0,0.67,-3.1,4.1,0.13,34.01,0.0,0.0,1.0
62,7,0.0,45,0.018433179723502304,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,12.0,2.45,5.0,6654.0,1875.14,2.42,283.13,93.15,0.51,4.49,1.89,0.22,6.4,2.52,-1.32,42.04,12.48,0.0,4.0,1.14,-1.92,2.57,-1.43,203.38,0.0,0.0,0.0
186,58,0.0,102,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.1,0.1,0.1,0.9,0.9,0.9,0.1,0.42,0.21,0.37,1.33,0.93,-0.14,13.53,3.25,-1.56,181.01,18.16,0.0,0.0,0.0,-4.92,8.26,1.51,68.83,0.0,0.0,0.0
159,15,0.0,145,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-2.0,4150.0,412.8,3.0,6600.0,797.79,0.74,5113.84,558.49,0.03,1.62,0.26,-0.98,2.68,0.62,-0.84,5.51,0.89,0.0,0.0,0.0,-11.02,16.74,-0.94,10.4,1.0,0.0,0.0
159,15,0.0,145,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-2.0,4150.0,412.8,3.0,6600.0,797.79,0.74,5113.84,558.49,0.03,1.62,0.26,-0.98,2.68,0.62,-0.84,5.51,0.89,0.0,0.0,0.0,-11.14,17.08,-0.94,11.06,0.0,0.0,0.0
2178,3,0.0,12,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-179.96,0.0,-82.15,78.15,656.0,304.72,7.96,74.36,45.75,1.57,3.84,2.52,-0.86,3.27,0.82,-0.82,10.77,3.05,0.0,0.0,0.0,-0.0,0.11,-1.5,0.99,0.9090909090909092,0.0,1.0
1728,6,1.0,4,0.0,0,0,576,384.0,1.1,1.39,1.24,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.2,0.16,0.17,-5480462982951367.0,1.0,0.0,0.5714285714285715
108,6,0.33,94,0.0,0,0,54,27.0,0.69,1.38,1.04,0.0,0.0,0.0,0.0,1.0,0.26,4.02,194.0,53.82,1.2,100.57,26.37,0.58,0.95,0.75,-0.05,2.17,1.05,-1.03,7.96,2.1,0.0,0.0,0.0,-2.3,21.69,6.44,3.09,1.0,0.0,0.6363636363636365
108,6,0.33,94,0.0,0,0,54,27.0,0.69,1.38,1.04,0.0,0.0,0.0,0.0,1.0,0.26,4.02,194.0,53.82,1.2,100.57,26.37,0.58,0.95,0.75,-0.05,2.17,1.05,-1.03,7.96,2.1,0.0,0.0,0.0,-2.2,21.65,6.48,3.1,1.0,0.0,0.26666666666666666
43,2,0.0,20,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-29.0,0.9,-14.05,-0.2,15.6,7.7,-8.15,9.03,0.44,-0.86,0.44,-0.21,-0.93,-0.49,-0.71,-0.71,0.35,-0.18,0.0,0.0,0.0,0.88,1.28,-2.0,0.18,0.0,0.0,0.0
195,11,0.91,177,0.0,0,0,149,8.59,0.55,5.19,1.4,0.0,0.0,0.0,20.0,20.0,20.0,90.0,90.0,90.0,60.44,60.44,60.44,0.19,0.19,0.19,-0.03,-0.03,-0.03,0.24,0.24,0.24,0.0,0.0,0.0,-14.14,9.4,0.53,250.49,0.0,0.0,0.0
96,4,0.0,95,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.05,160.0,48.03,0.34,203.0,70.26,0.16,189.88,60.93,0.04,0.37,0.21,-1.17,0.42,-0.13,-1.26,2.96,0.2,0.0,0.0,0.0,-23.81,2.39,-0.95,-1.27,0.0,0.0,1.0
74,26,0.0,63,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.1,0.1,0.1,0.9,0.9,0.9,0.12,0.44,0.25,0.33,1.3,0.84,0.42,5.83,1.99,-0.9,32.03,5.42,0.0,0.0,0.0,-7.15,9.88,-0.57,10.44,0.0,0.0,1.0
130,9,0.33,53,0.03418803418803419,0,0,106,39.0,0.48,1.04,0.71,0.0,0.0,0.0,0.0,35.0,6.72,0.61,86.0,29.23,0.22,62.83,15.97,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1.0,14.0,6.67,-2.56,1.37,-0.48,-4.33,1.0,1.0,1.0
950,9,0.0,203,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,12.75,58.0,25.7,25.12,94.12,56.21,18.7,70.67,41.01,0.1,0.28,0.18,-0.66,0.75,-0.02,-1.3,-0.02,-0.78,0.0,0.0,0.0,-9.63,30.04,1.17,2.11,1.0,0.0,1.0
286,9,0.89,23,0.0,0,0,222,48.68,0.55,1.79,0.94,0.0,0.0,0.0,29.0,29.0,29.0,74.0,74.0,74.0,50.94,50.94,50.94,0.19,0.19,0.19,-0.01,-0.01,-0.01,-0.63,-0.63,-0.63,0.0,0.0,0.0,-0.6,0.82,0.12,-6.59,0.0,0.0,1.0
27,4,0.0,26,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.84,1960.0,595.69,3.8,9930.0,2980.98,1.71,7402.41,2344.76,0.0,0.6,0.38,-1.59,1.1,0.08,-1.2,1.67,-0.17,0.0,0.0,0.0,-1.55,6.36,-1.14,1.48,1.0,0.0,1.0
55,2,0.5,52,0.0,0,0,5,4.23,2.48,2.48,2.48,0.0,0.0,0.0,24.0,24.0,24.0,79.0,79.0,79.0,53.82,53.82,53.82,0.29,0.29,0.29,-0.07,-0.07,-0.07,-1.29,-1.29,-1.29,0.0,0.0,0.0,-12.93,5.52,1.34,-5.22,0.0,0.0,0.0
200,10,0.0,189,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.12,0.1,-0.01,-41.22,33.57,-6.07,-0.19,0.22,0.02,-1.98,-1.33,-1.54,0.0,0.0,0.0,-3.3,7.06,-1.81,2.21,0.0,0.0,0.0
1473,9,0.78,3,0.0,0,0,1364,355.55,0.26,1.29,0.85,0.0,0.0,0.0,0.0,16.0,8.0,16.0,49.0,32.5,3.26,32.54,17.9,0.25,0.72,0.49,0.26,1.1,0.68,-0.94,1.52,0.29,0.0,0.0,0.0,-0.29,0.25,8.65,-19.13,1.0,0.5000000000000014,0.0
209,6,0.0,116,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,64.0,24.17,52.0,64000.0,16330.67,4.7,11796.15,2486.02,0.99,1.61,1.35,2.13,4.0,3.09,5.73,21.91,12.86,0.0,0.0,0.0,-4.46,5.42,-0.75,4.8,0.0,0.0,0.0
294,13,0.54,2,0.08267922553636839,-1000,0,266,66.39,0.37,1.17,0.65,0.0,0.0,0.0,0.0,92.0,47.83,0.0,603.0,177.33,0.0,250.85,95.16,0.16,1.55,0.86,-0.28,1.54,0.63,-0.51,2.12,0.8,0.0,291.0,52.67,-0.07,0.08,0.3,34.26,1.0,0.0,0.545454545454546
158,7,0.29,101,0.0,0,0,87,26.33,0.93,1.72,1.33,0.0,0.0,0.0,7.5,14.5,9.58,20.9,68.0,51.16,14.12,31.19,25.64,0.16,0.38,0.32,-0.47,0.59,0.24,-1.0,0.38,-0.0,0.0,0.0,0.0,-8.96,9.07,2.09,-14.18,1.0,0.0,1.0
368,27,0.74,2,0.0785024154589372,-1000,0,367,14.69,0.02,5.79,1.44,0.0,0.0,0.0,0.1,35.4,11.69,8.5,184.0,71.91,2.95,70.76,31.11,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,26.0,299.0,111.43,-0.07,0.07,0.18,61.04,1.0,0.0,0.3636363636363635
368,22,0.68,2,0.09634387351778656,-1000,0,340,65.71,0.27,1.84,1.26,0.0,0.0,0.0,0.1,35.4,11.69,8.5,184.0,71.91,2.95,70.76,31.11,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,26.0,299.0,111.43,-0.12,0.11,5.91,-22.23,1.0,0.0,0.574468085106383
71,62,0.0,6,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1068.47,120.0,-20.51,0.01,95957.53,2528.81,-29.0,1409.62,56.08,-4.91,9.89,1.87,-5.76,8.25,1.68,-1.61,66.01,11.96,0.0,0.0,0.0,-0.49,0.18,2.67,-29.62,0.0,0.6470588235294118,1.0
74,62,0.0,4,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1068.47,120.0,-20.51,0.01,95957.53,2529.09,-26.74,1353.67,54.72,-5.24,11.32,1.9,-5.84,8.43,1.71,-1.61,69.01,12.42,0.0,0.0,0.0,-0.31,0.32,0.55,-10.68,0.0,1.0,1.0
74,62,0.0,4,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1068.47,120.0,-20.51,0.01,95957.53,2529.09,-26.74,1353.67,54.72,-5.24,11.32,1.9,-5.84,8.43,1.71,-1.61,69.01,12.42,0.0,0.0,0.0,-0.36,0.22,3.09,5.56,1.0,0.0,0.5
74,62,0.0,4,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-1068.47,120.0,-20.51,0.01,95957.53,2529.09,-26.74,1353.67,54.72,-5.24,11.32,1.9,-5.84,8.43,1.71,-1.61,69.01,12.42,0.0,0.0,0.0,-0.32,0.2,0.92,-10.26,0.0,0.0,1.0
194,29,0.93,8,0.0,0,0,183,15.45,0.22,5.27,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,22402.0,11705.0,23.27,700.05,361.66,3.09,3.94,3.52,6.71,8.5,7.6,54.98,79.92,67.45,0.0,0.0,0.0,-0.17,0.33,2.0,-59.89,1.0,0.0,0.46808510638297873
690,15,0.6,2,0.0024154589371980675,-1000,0,625,115.0,0.35,2.47,0.9,0.0,0.0,0.0,0.0,13.75,2.29,28.0,100000.0,17033.96,2.22,1017.39,207.06,1.05,5.12,2.42,1.49,13.11,5.66,2.25,213.11,69.23,0.0,13.0,4.17,-0.15,0.15,12.53,-8.83,1.0,0.0,0.4761904761904762
990,12,0.17,11,0.0,0,0,528,104.21,0.69,2.71,1.7,0.0,0.0,0.0,-5.21,-0.84,-1.95,-0.94,5.07,1.82,-3.2,1.88,-0.1,-105.78,1.7,-11.52,-0.21,0.36,0.09,-0.76,0.15,-0.4,0.0,0.0,0.0,-1.98,0.64,4.55,-3.32,1.0,0.0,1.0
1000,20,0.65,2,0.0,-1000,0,963,194.03,0.16,1.85,0.99,0.0,0.0,0.0,1.0,250.0,39.57,2.0,18424.0,2655.0,1.15,3271.26,476.58,0.31,0.86,0.46,-0.53,1.95,0.92,-1.38,4.27,0.91,0.0,0.0,0.0,-0.06,0.06,0.77,8.68,1.0,0.25000000000000017,0.0
105,12,0.75,6,0.029365079365079365,0,0,87,4.87,0.54,4.65,1.63,0.0,0.0,0.0,1.0,1818.0,874.33,6.0,4558.0,2180.67,2.63,1903.73,1157.94,0.02,0.02,0.02,-0.2,-0.2,-0.2,-0.44,-0.44,-0.44,0.0,24.0,12.33,-0.18,0.23,1.11,24.46,1.0,0.0,0.5357142857142857
105,12,1.0,6,0.0,0,0,87,6.0,0.54,4.65,1.53,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.19,0.18,0.79,115.51,1.0,0.0,1.0
160,4,0.0,3,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1.0,1.0,1.0,3.0,4.0,3.75,1.83,1.98,1.94,0.46,0.47,0.47,0.34,0.65,0.57,-1.48,-0.52,-0.76,0.0,0.0,0.0,0.07,0.3,-0.69,0.41,1.0,0.0,0.4310344827586207
540,37,0.51,2,0.026076076076076076,-1000,0,513,11.43,0.21,5.98,1.55,0.0,0.0,0.0,0.0,23040.0,1297.75,1.25,88231.0,5086.57,0.04,37287.53,2198.88,0.23,0.67,0.45,0.24,3.28,1.76,-1.75,16.51,7.38,0.0,63.0,28.94,-1.34,0.51,27.36,-18.81,1.0,0.0,0.45
556,6,1.0,2,0.0,-1000,0,281,145.04,0.69,1.39,1.01,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.01,0.01,1.22,-1042.08,0.0,1.0,0.5789473684210525
601,6,1.0,2,0.0,-1000,0,395,156.78,0.64,1.39,1.0,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.01,0.01,-0.38,-730.09,1.0,0.0,0.14285714285714302
554,6,1.0,2,0.0,-1000,0,288,144.52,0.69,1.39,1.01,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.01,0.01,-0.39,-471.54,0.0,1.0,0.29032258064516125
267,22,1.0,2,0.0,-1000,0,232,89.0,0.39,0.69,0.59,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.07,0.07,3.43,1.025044181624974e+16,0.42857142857142855,1.0,0.0
349,44,0.02,59,0.0,0,0,254,116.33,0.59,0.59,0.59,0.0,0.0,0.0,3.0,40.0,19.3,76.0,89.0,81.33,53.43,74.06,65.34,0.08,0.24,0.14,-3.25,-0.89,-1.82,1.01,19.88,5.79,0.0,0.0,0.0,-6.14,4.96,0.27,-9.11,0.0,0.0,1.0
155,8,0.75,4,0.0,0,0,123,17.88,0.65,2.99,1.67,0.0,0.0,0.0,0.0,1.0,0.5,5.0,10.0,7.5,2.18,5.34,3.76,0.49,0.58,0.53,0.21,0.54,0.38,-1.28,-0.32,-0.8,0.0,0.0,0.0,-0.17,0.13,0.69,-17.3,1.0,0.0,0.7999999999999998
36,21,0.05,3,0.0,0,0,10,7.2,1.38,1.38,1.38,0.0,0.0,0.0,0.0,1162.0,111.23,0.21,3993.0,392.33,0.07,2299.92,221.94,0.11,0.79,0.4,-0.48,2.13,0.49,-1.13,4.86,0.02,0.0,0.0,0.0,-0.33,0.28,1.87,-10.01,0.7333333333333333,0.0,1.0
90,8,1.0,3,0.0,0,0,83,22.5,0.31,1.03,0.77,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.04,0.05,-0.52,19.18,0.5,1.0,0.0
52,24,0.12,3,0.005608974358974359,0,0,20,4.73,1.09,2.94,1.86,0.0,0.0,0.0,-7.39,1156.0,248.56,11.2,2872.0,613.63,8.03,1859.48,412.46,0.1,0.63,0.24,-0.82,0.94,0.11,-1.06,0.4,-0.4,0.0,1.0,0.33,-0.18,0.15,0.21,-18.94,1.0,1.0,0.0
52,23,0.13,3,0.03260869565217391,0,0,20,4.73,1.09,2.95,1.87,0.0,0.0,0.0,-9.08,1064.0,185.79,11.7,2523.0,470.74,4.79,1735.98,303.24,0.13,0.41,0.25,-0.77,0.9,0.3,-0.63,0.86,-0.19,0.0,6.0,1.95,-0.15,0.22,2.02,43.48,1.0,0.0,0.7741935483870969
63,31,0.13,4,0.0,0,0,36,12.6,0.96,1.95,1.27,0.0,0.0,0.0,0.0,0.0,0.0,7.69,100.0,44.47,0.43,30.52,13.59,0.44,2.97,0.99,-0.43,5.94,1.25,-1.05,39.04,4.67,0.0,0.0,0.0,-0.14,0.2,0.2,9.43,0.8985507246376813,0.0,1.0
76,45,1.0,3,0.0,0,0,75,11.92,0.07,4.33,0.86,0.0,0.0,0.0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-0.05,0.07,11.51,32.41,1.0,1.0,1.0
366,34,0.97,6,0.0006428801028608164,0,0,345,74.56,0.27,1.37,0.83,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,36.3,36.3,36.3,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,8.0,8.0,8.0,-0.26,0.23,2.22,65.0,1.0,0.0,0.5616438356164384
768,8,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,21.0,2.63,2.42,846.0,179.19,0.47,120.89,44.99,0.25,1.44,0.62,-1.84,2.27,0.53,-0.52,7.16,2.75,0.0,0.0,0.0,-0.19,0.04,-0.38,-1.48,1.0,0.0,1.0
336,7,0.0,8,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.5,0.17,0.88,1.0,0.97,0.5,0.5,0.5,0.05,0.43,0.29,-0.17,18.25,3.59,-1.05,331.0,51.19,0.0,0.0,0.0,-0.72,1.11,-1.05,2.1,0.9152542372881357,0.0,1.0
57,16,0.5,2,0.1524122807017544,-1000,0,35,12.32,0.86,1.35,1.15,0.0,0.0,0.0,0.0,27.0,5.62,3.0,40.0,14.51,2.16,38.04,9.41,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,1.0,48.0,17.38,-0.12,0.11,0.88,20.29,1.0,0.4999999999999999,0.0
208,60,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.09,0.02,0.04,1.0,0.66,0.01,0.7,0.28,0.34,0.87,0.61,-0.78,3.38,0.96,-1.21,20.21,2.19,0.0,0.0,0.0,-0.09,0.1,-0.14,6.04,0.7599999999999998,0.0,1.0
208,60,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.09,0.02,0.04,1.0,0.66,0.01,0.7,0.28,0.34,0.87,0.61,-0.78,3.38,0.96,-1.21,20.21,2.19,0.0,0.0,0.0,-0.09,0.09,-0.14,5.93,1.0,0.0,0.8285714285714284
208,60,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.09,0.02,0.04,1.0,0.66,0.01,0.7,0.28,0.34,0.87,0.61,-0.78,3.38,0.96,-1.21,20.21,2.19,0.0,0.0,0.0,-0.1,0.09,-0.12,6.42,1.0,0.0,0.6875
208,60,0.0,2,0.0,-1000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.09,0.02,0.04,1.0,0.66,0.01,0.7,0.28,0.34,0.87,0.61,-0.78,3.38,0.96,-1.21,20.21,2.19,0.0,0.0,0.0,-0.09,0.09,-0.14,6.19,1.0,0.0,0.696969696969697
25,9,0.0,24,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.27,0.85,0.55,0.22,0.8,0.52,-3.62,1.6,-0.53,-0.44,13.43,2.45,0.0,0.0,0.0,-3.91,2.63,-0.39,-2.09,1.0,0.0,0.0
26,1030,0.0,24,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.96,0.26,0.2,5.0,2.29,-4.8,4.8,2.17,-1.06,21.04,12.71,0.0,0.0,0.0,-4816437.91,5963991.57,1.46,6.42,1.0,0.0,0.0
79,304,0.0,72,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.94,0.4,0.14,8.83,1.06,-5.9,8.72,0.82,-1.75,74.01,5.91,0.0,0.0,0.0,-3.72,3.74,3.09,-13.29,0.0,0.0,1.0
214,9,0.0,6,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,69.81,9.75,0.51,75.41,14.26,0.06,72.65,11.27,0.0,2.83,0.77,-1.14,6.51,1.64,-0.43,53.39,9.65,0.0,0.0,0.0,-0.59,0.63,1.36,4.75,1.0,0.0,0.9583333333333337
214,9,0.0,6,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,69.81,9.75,0.51,75.41,14.26,0.06,72.65,11.27,0.0,2.83,0.77,-1.14,6.51,1.64,-0.43,53.39,9.65,0.0,0.0,0.0,-0.59,0.64,1.4,4.62,1.0,0.0,0.7307692307692306
22,110,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.08,0.78,0.55,0.3,3.18,0.68,-1.76,2.89,-0.03,-1.95,6.47,-0.47,0.0,0.0,0.0,-0.48,0.65,3.71,4.74,0.0,0.0,0.0
22,110,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.08,0.78,0.55,0.3,3.18,0.68,-1.76,2.89,-0.03,-1.95,6.47,-0.47,0.0,0.0,0.0,-0.51,0.88,2.46,5.04,0.0,0.0,0.0
22,110,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.08,0.78,0.55,0.3,3.18,0.68,-1.76,2.89,-0.03,-1.95,6.47,-0.47,0.0,0.0,0.0,-0.34,0.51,1.48,3.24,0.0,0.0,0.0
22,110,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.08,0.78,0.55,0.3,3.18,0.68,-1.76,2.89,-0.03,-1.95,6.47,-0.47,0.0,0.0,0.0,-0.56,0.94,2.39,7.89,1.0,0.0,1.0
22,110,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.08,0.78,0.55,0.3,3.18,0.68,-1.76,2.89,-0.03,-1.95,6.47,-0.47,0.0,0.0,0.0,-0.43,0.72,2.48,4.79,0.5151515151515151,0.0,1.0
22,628,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.07,0.91,0.47,0.24,3.16,0.71,-3.17,3.9,0.24,-2.0,14.48,0.25,0.0,0.0,0.0,-739.76,1019.89,1.0,-4.59,1.0,0.0,0.0
22,628,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.07,0.91,0.47,0.24,3.16,0.71,-3.17,3.9,0.24,-2.0,14.48,0.25,0.0,0.0,0.0,-168.1,161.25,0.79,7.19,0.0,0.0,0.0
31,53,0.0,28,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.07,0.91,0.49,0.19,2.45,0.67,-4.63,5.01,0.12,-1.75,24.14,4.89,0.0,0.0,0.0,-2.83,4.17,-0.34,-38.68,1.0,0.0,1.0
31,53,0.0,28,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.07,0.91,0.49,0.19,2.45,0.67,-4.63,5.01,0.12,-1.75,24.14,4.89,0.0,0.0,0.0,-3.17,4.35,-0.56,-23.02,1.0,1.0,1.0
80,112,0.0,75,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.64,0.29,0.31,5.77,0.83,-0.61,6.97,1.87,-1.49,49.36,8.61,0.0,0.0,0.0,-4.15,5.91,7.97,8.28,0.33333333333333337,0.0,1.0
80,112,0.0,75,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.64,0.29,0.31,5.77,0.83,-0.61,6.97,1.87,-1.49,49.36,8.61,0.0,0.0,0.0,-4.33,5.21,8.45,37.86,1.0,0.0,0.0
20,9,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.27,0.76,0.49,0.31,0.91,0.59,-1.9,1.49,0.01,-1.26,3.19,0.35,0.0,0.0,0.0,-1.23,2.02,-0.86,2.03,1.0,0.0,0.0
20,9,0.0,19,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.27,0.76,0.49,0.31,0.91,0.59,-1.9,1.49,0.01,-1.26,3.19,0.35,0.0,0.0,0.0,-1.26,2.04,-0.86,2.05,0.0,0.0,0.0
22,39,0.0,22,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.06,0.93,0.48,0.25,3.47,0.73,-3.37,4.35,0.01,-1.73,16.97,0.28,0.0,0.0,0.0,-0.1,0.04,9.18,4.62,1.0,1.0,1.0
22,39,0.0,22,0.0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,0.0,0.0,0.0,1.0,1.0,1.0,0.06,0.93,0.48,0.25,3.47,0.73,-3.37,4.35,0.01,-1.73,16.97,0.28,0.0,0.0,0.0,-0.1,0.04,9.27,4.66,1.0,1.0,1.0
306,3,0.33,2,0.0,-1000,0,36,23.54,2.44,2.44,2.44,0.0,0.0,0.0,0.0,30.0,15.0,52.0,83.0,67.5,4.03,52.46,28.24,0.21,1.78,0.99,0.15,2.97,1.56,-0.6,11.52,5.46,0.0,0.0,0.0,-0.05,0.12,2.33,3.59,0.0,1.0,0.6499999999999998
